court_num,circuit_num,end_year,start_year,judge_name,year,name_perm
1116,10,2001.0,1994.0,"Burrage, Billy Michael",0,BILLY MICHAEL BURRAGE
1058,9,2022.0,1992.0,"Burrell, Garland Ellis, Jr.",0,GARLAND ELLIS BURRELL
1026,1,2022.0,2014.0,"Burroughs, Allison Dale",0,ALLISON DALE BURROUGHS
1006,9,2022.0,2002.0,"Bury, David C.",0,DAVID C BURY
6,6,2022.0,2017.0,"Bush, John Kenneth",0,JOHN KENNETH BUSH
1096,11,2022.0,1988.0,"Butler, Charles Randolph, Jr.",0,CHARLES RANDOLPH BUTLER
1083,11,2002.0,1998.0,"Buttram, H. Dean, Jr.",0,H DEAN BUTTRAM
4,4,2006.0,1967.0,"Butzner, John Decker, Jr.",0,JOHN DECKER BUTZNER
9,9,2022.0,2003.0,"Bybee, Jay S.",0,JAY S BYBEE
8,8,2016.0,2000.0,"Bye, Kermit Edward",0,KERMIT EDWARD BYE
1002,9,2006.0,1971.0,"Byrne, William Matthew, Jr.",0,WILLIAM MATTHEW BYRNE
1077,11,2022.0,2014.0,"Byron, Paul Gregory",0,PAUL GREGORY BYRON
2,2,2022.0,1994.0,"Cabranes, Jos̩ Alberto",0,JOS̩ ALBERTO CABRANES
1072,4,2018.0,1981.0,"Cacheris, James Chris",0,JAMES CHRIS CACHERIS
1063,8,2004.0,1980.0,"Cahill, Clyde S., Jr.",0,CLYDE S CAHILL
1110,5,2022.0,2019.0,"Cain, James David, Jr.",0,JAMES DAVID CAIN
1046,4,2022.0,2011.0,"Cain, Timothy Martin",0,TIMOTHY MARTIN CAIN
1092,6,2022.0,2020.0,"Calabrese, J. Philip",0,J PHILIP CALABRESE
2,2,2022.0,1994.0,"Calabresi, Guido",0,GUIDO  CALABRESI
1060,6,2022.0,2001.0,"Caldwell, Karen K.",0,KAREN K CALDWELL
1081,3,2019.0,1982.0,"Caldwell, William W.",0,WILLIAM W CALDWELL
